short_code,group_name,short_label,series,table_code,item_code1,item_name1,item_code2,item_name2,cycle,transformation,transform,unit_name,label_kr
M20,Money / liquidity,Deposits: 정기예금-5%~6%미만,121Y008_AA05006,121Y008,AA05006,정기예금-5%~6%미만,,,M,Difference,diff,%,예금은행총예금_정기예금-5%~6%미만
M21,Money / liquidity,Deposits: 정기예금-6%~7%미만,121Y008_AA06007,121Y008,AA06007,정기예금-6%~7%미만,,,M,Difference,diff,%,예금은행총예금_정기예금-6%~7%미만
FX1,Exchange rates / reserves,Reserves: IMF포지션,732Y001_03,732Y001,03,IMF포지션,,,M,Log-difference,logdiff,천달러,외환보유액_원자재_IMF포지션
FX2,Exchange rates / reserves,Reserves: 금,732Y001_01,732Y001,01,금,,,M,Log-difference,logdiff,천달러,외환보유액_원자재_금
FX3,Exchange rates / reserves,Reserves: 외환,732Y001_04,732Y001,04,외환,,,M,Log-difference,logdiff,천달러,외환보유액_원자재_외환
FX4,Exchange rates / reserves,Reserves: 특별인출권,732Y001_02,732Y001,02,특별인출권,,,M,Log-difference,logdiff,천달러,외환보유액_원자재_특별인출권
FX5,Exchange rates / reserves,Reserves: 합계,732Y001_99,732Y001,99,합계,,,M,Log-difference,logdiff,천달러,외환보유액_원자재_합계
FX6,Exchange rates / reserves,FX: 원/미국달러(매매기준율),731Y001_0000001,731Y001,0000001,원/미국달러(매매기준율),,,D,Log-difference,logdiff,원,주요국환율_원/미국달러(매매기준율)
FX7,Exchange rates / reserves,FX: 원/위안(매매기준율),731Y001_0000053,731Y001,0000053,원/위안(매매기준율),,,D,Log-difference,logdiff,원,주요국환율_원/위안(매매기준율)
FX8,Exchange rates / reserves,FX: 원/유로,731Y001_0000003,731Y001,0000003,원/유로,,,D,Log-difference,logdiff,원,주요국환율_원/유로
FX9,Exchange rates / reserves,FX: 원/일본엔(100엔),731Y001_0000002,731Y001,0000002,원/일본엔(100엔),,,D,Log-difference,logdiff,원,주요국환율_원/일본엔(100엔)
